easting,northing,elevation,slope
392048.1241,4049811.353,2252,41.928341
392057.4769,4049811.353,2246,43.433033
392066.8297,4049811.353,2240,42.857601
392076.1825,4049811.353,2235,44.504391
392085.5353,4049811.353,2227,46.789734
392094.8881,4049811.353,2219,45.372738
392104.2409,4049811.353,2212,41.846123
392113.5937,4049811.353,2206,39.222992
392122.9465,4049811.353,2200,38.640385
392132.2993,4049811.353,2194,38.726063
392141.6521,4049811.353,2188,38.826717
392151.0049,4049811.353,2182,38.292923
392160.3578,4049811.353,2176,37.773457
392169.7106,4049811.353,2170,38.284939
392179.0634,4049811.353,2163,37.202209
392188.4162,4049811.353,2157,35.883438
392197.769,4049811.353,2151,37.03886
392207.1218,4049811.353,2144,38.803547
392216.4746,4049811.353,2137,39.929092
392225.8274,4049811.353,2129,40.493847
392235.1802,4049811.353,2121,39.936283
392244.533,4049811.353,2114,38.764854
392253.8858,4049811.353,2107,36.671738
392263.2386,4049811.353,2101,34.119186
392272.5915,4049811.353,2095,30.9799
392281.9443,4049811.353,2090,21.197014
392291.2971,4049811.353,2088,14.229266
392300.6499,4049811.353,2089,24.135979
392310.0027,4049811.353,2091,32.140972
392319.3555,4049811.353,2094,36.600842
392328.7083,4049811.353,2098,37.507191
392338.0611,4049811.353,2102,37.978409
392347.4139,4049811.353,2107,37.227848
392356.7667,4049811.353,2111,33.868816
392366.1195,4049811.353,2114,31.941227
392375.4723,4049811.353,2117,31.941227
392384.8252,4049811.353,2120,30.105133
392394.178,4049811.353,2122,26.892527
